actor,target,relationship_type,technology,announced_date,amount_usd_millions,evidence_strength,operational_use,strategic_flags,source_id,notes,amount_component,structural_component,anomaly_score,review_tier,screening_hypothesis,alternative_explanation
Microsoft,OpenAI,equity_and_commercial,GPT and Azure,2019-07-22,13750.0,4,cloud and product integration,reciprocal_cloud_spend|control_rights|information_rights|switching_cost,FTC_AI,Amount reported by FTC through 2024; 2026 terms keep Microsoft as major shareholder,35.0,43.0,78.0,priority_review,"Investment may secure infrastructure demand, distribution, and strategic information advantages.",Scale economics and joint product delivery can explain the same structure without anti-competitive intent.
Amazon,Anthropic,equity_and_commercial,Claude and AWS Trainium,2026-04-10,13000.0,4,model training and Bedrock distribution,reciprocal_cloud_spend|preferred_infrastructure|switching_cost,AMAZON_ANTHROPIC,Includes prior $8B plus $5B announced in 2026; excludes contingent future $20B,34.793996020081195,31.0,65.8,priority_review,"Investment may secure infrastructure demand, distribution, and strategic information advantages.",Scale economics and joint product delivery can explain the same structure without anti-competitive intent.
Alphabet,Anthropic,equity_and_commercial,Claude and Google Cloud,2023-10-27,2550.0,4,cloud compute and model partnership,reciprocal_cloud_spend|information_rights|switching_cost,FTC_AI,Publicly reported amount summarized by FTC,28.81228482868519,33.0,61.8,priority_review,"Investment may secure infrastructure demand, distribution, and strategic information advantages.",Scale economics and joint product delivery can explain the same structure without anti-competitive intent.
Salesforce,Anthropic,venture_investment,Claude,2023-03-07,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Salesforce,Cohere,venture_investment,Cohere models,2023-03-07,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Salesforce,Runway,venture_investment,generative media,2024-09-16,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Salesforce,Together AI,venture_investment,AI infrastructure,2024-09-16,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Salesforce,ElevenLabs,venture_investment,voice AI,2025-10-16,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Salesforce,Writer,venture_investment,enterprise language AI,2025-10-16,,3,portfolio investment,undisclosed_amount|platform_optionality,SALESFORCE_AI,Named portfolio company; deal amount not disclosed,0.0,16.0,16.0,routine,Portfolio position may preserve access to multiple technical pathways and future partners.,Conventional venture diversification and financial return may be sufficient explanations.
Amazon,Intel,strategic_commercial,custom AI fabric chip,2024-09-16,,3,custom silicon manufacturing,multi_year_commitment|undisclosed_amount,INTEL_AWS,Multi-year multi-billion framework; exact AI allocation not disclosed,0.0,15.0,15.0,routine,Long-duration commercial alignment may secure supply and specialized AI capacity.,Supply-chain resilience and ordinary procurement planning may explain the commitment.
